Ping     Download     Upload    Data
24.572    34.35        21.40     Wed Mar  2 19:31:07 2016

21.575    32.88        20.48     Wed Mar  2 19:31:07 2016

25.308    34.16        21.51     Wed Mar  2 19:31:07 2016

22.603    31.21        21.88     Wed Mar  2 19:31:07 2016

35.723    27.25        12.98     Wed Mar  2 19:31:07 2016

37.366    25.92        14.77     Wed Mar  2 19:31:07 2016

22.073    32.26        14.10     Wed Mar  2 19:31:07 2016

22.312    32.31        18.88     Wed Mar  2 19:31:07 2016

34.816    25.36        10.44     Wed Mar  2 19:31:07 2016

34.495    28.12        11.33     Wed Mar  2 19:31:07 2016

26.168    28.13        16.29     Wed Mar  2 19:31:07 2016

31.348    28.33        14.55     Wed Mar  2 19:31:07 2016

22.836    33.92        19.14     Wed Mar  2 19:31:07 2016

25.546    34.47        21.16     Wed Mar  2 19:31:07 2016

21.244    33.45        19.07     Wed Mar  2 19:31:07 2016

25.336    34.28        21.45     Wed Mar  2 19:31:07 2016

25.117    34.45        21.14     Wed Mar  2 19:31:07 2016

21.829    34.27        17.90     Wed Mar  2 19:31:07 2016

24.88    32.46        19.06     Wed Mar  2 19:31:07 2016

22.558    34.17        20.13     Wed Mar  2 19:31:07 2016

22.352    33.49        19.59     Wed Mar  2 19:31:07 2016

29.88    33.52        18.54     Wed Mar  2 19:31:07 2016

28.277    26.47        19.27     Wed Mar  2 19:31:07 2016

23.142    32.94        20.94     Wed Mar  2 19:31:07 2016

23.384    35.21        15.70     Wed Mar  2 19:31:07 2016

21.521    35.68        21.69     Wed Mar  2 19:31:07 2016

23.172    32.54        20.36     Wed Mar  2 19:31:07 2016

22.222    34.15        20.64     Wed Mar  2 19:31:07 2016

22.568    32.94        20.63     Wed Mar  2 19:31:07 2016

25.374    33.67        20.69     Wed Mar  2 19:31:07 2016

23.146    33.06        19.05     Wed Mar  2 19:31:07 2016

25.367    31.56        19.74     Wed Mar  2 19:31:07 2016

25.03    33.36        20.96     Wed Mar  2 19:31:07 2016

23.113    31.40        18.87     Wed Mar  2 19:31:07 2016

22.105    33.21        17.21     Wed Mar  2 19:31:07 2016

20.601    34.51        21.15     Wed Mar  2 19:31:07 2016

21.486    34.05        21.81     Wed Mar  2 19:31:07 2016

21.813    31.28        19.29     Wed Mar  2 19:31:07 2016

27.929    29.73        15.70     Wed Mar  2 19:31:07 2016

28.178    28.10        14.25     Wed Mar  2 19:31:07 2016

27.425    8.78        14.91     Wed Mar  2 19:31:07 2016

26.43    28.67        14.38     Wed Mar  2 19:31:07 2016

29.265    28.63        12.83     Wed Mar  2 19:31:07 2016

30.085    28.29        13.77     Wed Mar  2 19:31:07 2016

27.334    29.04        15.04     Wed Mar  2 19:31:07 2016

26.972    30.18        16.54     Wed Mar  2 19:31:07 2016

25.992    29.04        16.92     Wed Mar  2 19:31:07 2016

27.576    21.43        14.79     Wed Mar  2 19:31:07 2016

27.723    29.80        15.32     Wed Mar  2 19:31:07 2016

29.89    29.97        17.17     Wed Mar  2 19:31:07 2016

26.069    29.76        15.40     Wed Mar  2 19:31:07 2016

25.081    29.74        17.03     Wed Mar  2 19:31:07 2016

26.758    30.38        14.94     Wed Mar  2 19:31:07 2016

25.448    28.94        15.03     Wed Mar  2 19:31:07 2016

28.822    29.16        16.87     Wed Mar  2 19:31:07 2016

26.595    30.36        16.75     Wed Mar  2 19:31:07 2016

25.308    22.00        16.80     Wed Mar  2 19:31:07 2016

25.04    30.72        16.27     Wed Mar  2 19:31:07 2016

27.761    30.77        14.71     Wed Mar  2 19:31:07 2016

30.041    30.23        17.18     Wed Mar  2 19:31:07 2016

23.659    27.99        8.77     Wed Mar  2 19:31:07 2016

34.756    27.54        16.36     Wed Mar  2 19:31:07 2016

33.089    28.01        15.20     Wed Mar  2 19:31:07 2016

25.528    29.44        16.86     Wed Mar  2 19:31:07 2016

37.207    25.14        15.98     Wed Mar  2 19:31:07 2016

23.918    29.96        12.28     Wed Mar  2 19:31:07 2016

28.365    26.50        15.07     Wed Mar  2 19:31:07 2016

24.45    29.49        7.40     Wed Mar  2 19:31:07 2016

26.319    27.78        16.07     Wed Mar  2 19:31:07 2016

28.726    29.29        14.73     Wed Mar  2 19:31:07 2016

28.052    29.35        16.10     Wed Mar  2 19:31:07 2016

28.543    25.07        17.17     Wed Mar  2 19:31:07 2016

26.038    30.41        15.32     Wed Mar  2 19:31:07 2016

25.045    29.86        17.65     Wed Mar  2 19:31:07 2016

25.579    30.65        16.61     Wed Mar  2 19:31:07 2016

27.763    30.12        17.73     Wed Mar  2 19:31:07 2016

25.763    28.60        17.28     Wed Mar  2 19:31:07 2016

27.772    26.12        14.99     Wed Mar  2 19:31:07 2016

24.744    29.96        15.14     Wed Mar  2 19:31:07 2016

28.697    28.83        16.03     Wed Mar  2 19:31:07 2016

25.082    27.76        15.51     Wed Mar  2 19:31:07 2016

28.885    27.18        13.86     Wed Mar  2 19:31:07 2016

31.303    27.77        15.87     Wed Mar  2 19:31:07 2016

29.026    25.92        16.50     Wed Mar  2 19:31:07 2016

26.379    27.91        7.66     Wed Mar  2 19:31:07 2016

24.297    25.88        15.42     Wed Mar  2 19:31:07 2016

27.125    25.98        17.23     Wed Mar  2 19:31:07 2016

28.054    30.06        15.65     Wed Mar  2 19:31:07 2016

24.44    29.31        17.09     Wed Mar  2 19:31:07 2016

25.842    30.11        16.56     Wed Mar  2 19:31:07 2016

23.911    29.60        16.90     Wed Mar  2 19:31:07 2016

24.951    30.04        17.32     Wed Mar  2 19:31:07 2016

30.213    22.21        11.45     Wed Mar  2 19:31:07 2016

32.891    26.69        16.15     Wed Mar  2 19:31:07 2016

28.193    29.23        16.23     Wed Mar  2 19:31:07 2016

25.614    26.79        16.58     Wed Mar  2 19:31:07 2016

26.168    28.82        16.54     Wed Mar  2 19:31:07 2016

26.741    25.81        12.36     Wed Mar  2 19:31:07 2016

26.605    29.37        17.01     Wed Mar  2 19:31:07 2016

26.572    16.11        16.31     Wed Mar  2 19:31:07 2016

26.075    29.43        17.09     Wed Mar  2 19:31:07 2016

25.289    29.43        15.64     Wed Mar  2 19:31:07 2016

40.984    30.00        16.84     Wed Mar  2 19:31:07 2016

25.977    29.46        17.28     Wed Mar  2 19:31:07 2016

25.405    29.83        17.07     Wed Mar  2 19:31:07 2016

27.273    29.73        17.33     Wed Mar  2 19:31:07 2016

25.466    30.01        14.23     Wed Mar  2 19:31:07 2016

27.23    29.82        17.03     Wed Mar  2 19:31:07 2016

26.605    29.55        16.64     Wed Mar  2 19:31:07 2016

24.722    27.30        16.05     Wed Mar  2 19:31:07 2016

28.787    28.35        16.73     Wed Mar  2 19:31:07 2016

27.211    29.40        17.44     Wed Mar  2 19:31:07 2016

25.808    29.13        17.57     Wed Mar  2 19:31:07 2016

25.183    16.10        16.67     Wed Mar  2 19:31:07 2016

24.296    30.11        16.56     Wed Mar  2 19:31:07 2016

46.348    23.02        9.28     Wed Mar  2 19:31:07 2016

41.686    24.37        10.05     Wed Mar  2 19:31:07 2016

40.195    24.55        10.29     Wed Mar  2 19:31:07 2016

29.505    30.57        18.62     Wed Mar  2 19:31:07 2016

36.449    25.04        9.55     Wed Mar  2 19:31:07 2016

36.894    21.08        6.14     Wed Mar  2 19:31:07 2016

58.071    18.37        4.85     Wed Mar  2 19:31:07 2016

63.284    19.31        5.81     Wed Mar  2 19:31:07 2016

63.346    17.32        5.93     Wed Mar  2 19:31:07 2016

71.296    17.64        5.95     Wed Mar  2 19:31:07 2016

53.091    19.01        5.93     Wed Mar  2 19:31:07 2016

53.223    19.08        4.94     Wed Mar  2 19:31:07 2016

59.088    16.16        6.04     Wed Mar  2 19:31:07 2016

35.473    16.41        5.97     Wed Mar  2 19:31:07 2016

60.209    18.93        6.12     Wed Mar  2 19:31:07 2016

51.334    18.98        10.66     Wed Mar  2 19:31:07 2016

41.701    21.26        6.10     Wed Mar  2 19:31:07 2016

32.648    32.77        20.96     Wed Mar  2 19:31:07 2016

21.608    32.36        16.93     Wed Mar  2 19:31:07 2016

27.171    34.40        20.84     Wed Mar  2 19:31:07 2016

21.648    23.24        13.39     Wed Mar  2 19:31:07 2016

25.28    33.91        21.33     Wed Mar  2 19:31:07 2016

22.275    33.15        17.04     Wed Mar  2 19:31:07 2016

22.503    28.41        17.37     Wed Mar  2 19:31:07 2016

23.069    33.68        21.93     Wed Mar  2 19:31:07 2016

20.822    29.86        16.32     Wed Mar  2 19:31:07 2016

21.24    30.03        11.88     Wed Mar  2 19:31:07 2016

23.568    29.11        14.88     Wed Mar  2 19:31:07 2016

21.564    32.94        14.73     Wed Mar  2 19:31:07 2016

26.784    30.10        19.73     Wed Mar  2 19:31:07 2016

21.271    33.37        21.24     Wed Mar  2 19:31:07 2016

23.365    28.62        19.24     Wed Mar  2 19:31:07 2016

23.17    34.01        19.81     Wed Mar  2 19:31:07 2016

21.302    34.73        19.90     Wed Mar  2 19:31:07 2016

22.695    23.61        14.78     Wed Mar  2 19:31:07 2016

28.35    32.73        20.64     Wed Mar  2 19:31:07 2016

21.76    28.33        20.82     Wed Mar  2 19:31:07 2016

21.318    33.17        19.98     Wed Mar  2 19:31:07 2016

21.4    30.96        16.75     Wed Mar  2 19:31:07 2016

24.963    31.31        18.15     Wed Mar  2 19:31:07 2016

28.968    25.65        14.33     Wed Mar  2 19:31:07 2016

25.282    26.57        21.60     Wed Mar  2 19:31:07 2016

23.724    32.11        16.10     Wed Mar  2 19:31:07 2016

22.82    26.90        17.28     Wed Mar  2 19:31:07 2016

28.755    25.82        14.79     Wed Mar  2 19:31:07 2016

23.716    33.24        14.59     Wed Mar  2 19:31:07 2016

25.067    30.51        20.58     Wed Mar  2 19:31:07 2016

35.435    30.51        20.58     Wed Mar  2 19:31:07 2016

21.884    29.34        16.25     Wed Mar  2 19:31:07 2016

26.876    24.89        16.74     Wed Mar  2 19:31:07 2016

35.376    29.15        20.20     Wed Mar  2 19:31:07 2016

50.102    25.30        8.68     Wed Mar  2 19:31:07 2016

41.178    23.54        8.87     Wed Mar  2 19:31:07 2016

26.512    29.82        18.04     Wed Mar  2 19:31:07 2016

23.717    25.67        16.49     Wed Mar  2 19:31:07 2016

35.143    25.51        11.56     Wed Mar  2 19:31:07 2016

36.483    16.07        9.43     Wed Mar  2 19:31:07 2016

40.696    26.72        12.08     Wed Mar  2 19:31:07 2016

25.118    33.70        20.87     Wed Mar  2 19:31:07 2016

22.101    33.38        21.20     Wed Mar  2 19:31:07 2016

21.49    35.33        21.40     Wed Mar  2 19:31:07 2016

22.599    33.91        21.11     Wed Mar  2 19:31:07 2016

25.147    33.77        21.77     Wed Mar  2 19:31:07 2016

23.199    34.49        18.40     Wed Mar  2 19:31:07 2016

23.888    34.16        18.77     Wed Mar  2 19:31:07 2016

31.567    34.23        21.99     Wed Mar  2 19:31:07 2016

22.887    33.91        17.93     Wed Mar  2 19:31:07 2016

22.528    34.55        19.16     Wed Mar  2 19:31:07 2016

21.173    33.85        19.62     Wed Mar  2 19:31:07 2016

31.913    35.50        21.51     Wed Mar  2 19:31:07 2016

22.886    34.56        17.70     Wed Mar  2 19:31:07 2016

22.635    34.14        21.51     Wed Mar  2 19:31:07 2016

24.425    34.41        20.37     Wed Mar  2 19:31:07 2016

23.739    34.07        21.29     Wed Mar  2 19:31:07 2016

24.968    35.12        21.16     Wed Mar  2 19:31:07 2016

25.383    34.41        21.32     Wed Mar  2 19:31:07 2016

22.104    35.99        20.17     Wed Mar  2 19:31:07 2016

21.53    34.40        22.56     Wed Mar  2 19:31:07 2016

24.074    35.24        21.69     Wed Mar  2 19:31:07 2016

20.598    37.53        21.91     Wed Mar  2 19:31:07 2016

23.941    36.59        22.78     Wed Mar  2 19:31:07 2016

21.589    37.27        21.71     Wed Mar  2 19:31:07 2016

21.216    36.02        22.93     Wed Mar  2 19:31:07 2016

21.068    36.08        23.02     Wed Mar  2 19:31:07 2016

21.468    35.48        18.33     Wed Mar  2 19:31:07 2016

22.231    36.65        19.44     Wed Mar  2 19:31:07 2016

21.771    36.59        23.12     Wed Mar  2 19:31:07 2016

21.289    36.20        23.64     Wed Mar  2 19:31:07 2016

21.74    35.33        20.91     Wed Mar  2 19:31:07 2016

23.79    35.97        22.82     Wed Mar  2 19:31:07 2016

22.101    36.79        20.00     Wed Mar  2 19:31:07 2016

23.385    36.03        22.92     Wed Mar  2 19:31:07 2016

21.46    36.08        22.44     Wed Mar  2 19:31:07 2016

21.968    36.22        17.98     Wed Mar  2 19:31:07 2016

23.492    35.10        22.98     Wed Mar  2 19:31:07 2016

22.875    34.99        20.52     Wed Mar  2 19:31:07 2016

23.206    35.89        23.15     Wed Mar  2 19:31:07 2016

21.484    35.58        22.32     Wed Mar  2 19:31:07 2016

21.436    34.49        23.29     Wed Mar  2 19:31:07 2016

24.065    36.24        23.03     Wed Mar  2 19:31:07 2016

22.645    35.35        22.44     Wed Mar  2 19:31:07 2016

22.093    36.36        22.27     Wed Mar  2 19:31:07 2016

21.338    36.39        20.34     Wed Mar  2 19:31:07 2016

22.279    34.61        19.50     Wed Mar  2 19:31:07 2016

22.371    28.84        15.84     Wed Mar  2 19:31:07 2016

26.962    33.70        14.43     Wed Mar  2 19:31:07 2016

48.161    29.33        12.61     Wed Mar  2 19:31:07 2016

46.253    19.23        12.40     Wed Mar  2 19:31:07 2016

29.944    33.54        18.34     Wed Mar  2 19:31:07 2016

25.551    34.39        21.37     Wed Mar  2 19:31:07 2016

25.127    34.52        21.42     Wed Mar  2 19:31:07 2016

22.632    33.16        17.10     Wed Mar  2 19:31:07 2016

24.71    30.83        21.30     Wed Mar  2 19:31:07 2016

23.291    32.70        20.33     Wed Mar  2 19:31:07 2016

27.13    33.29        19.07     Wed Mar  2 19:31:07 2016

22.687    34.34        21.59     Wed Mar  2 19:31:07 2016

23.509    34.53        20.40     Wed Mar  2 19:31:07 2016

21.336    35.57        21.07     Wed Mar  2 19:31:07 2016

23.267    33.53        21.40     Wed Mar  2 19:31:07 2016

21.532    33.70        17.70     Wed Mar  2 19:31:07 2016

22.679    29.77        18.79     Wed Mar  2 19:31:07 2016

22.743    17.41        19.83     Wed Mar  2 19:31:07 2016

30.984    35.22        20.99     Wed Mar  2 19:31:07 2016

