Ping     Download     Upload    Data
22.066    29.98        14.62     Wed Mar  2 19:31:07 2016

31.671    27.69        16.24     Wed Mar  2 19:31:07 2016

25.386    33.99        20.69     Wed Mar  2 19:31:07 2016

22.514    33.38        17.83     Wed Mar  2 19:31:07 2016

21.95    34.62        19.43     Wed Mar  2 19:31:07 2016

22.703    32.84        19.82     Wed Mar  2 19:31:07 2016

22.953    33.54        15.10     Wed Mar  2 19:31:07 2016

21.524    34.07        21.15     Wed Mar  2 19:31:07 2016

21.602    33.89        20.67     Wed Mar  2 19:31:07 2016

22.452    34.24        18.01     Wed Mar  2 19:31:07 2016

25.161    33.66        20.82     Wed Mar  2 19:31:07 2016

23.301    35.62        22.37     Wed Mar  2 19:31:07 2016

20.857    34.38        21.79     Wed Mar  2 19:31:07 2016

21.819    32.54        21.42     Wed Mar  2 19:31:07 2016

24.276    34.60        20.07     Wed Mar  2 19:31:07 2016

21.677    34.00        21.10     Wed Mar  2 19:31:07 2016

23.574    34.06        21.25     Wed Mar  2 19:31:07 2016

23.074    32.76        21.76     Wed Mar  2 19:31:07 2016

23.495    33.86        21.41     Wed Mar  2 19:31:07 2016

23.937    32.39        19.79     Wed Mar  2 19:31:07 2016

22.222    32.28        20.81     Wed Mar  2 19:31:07 2016

22.622    35.14        21.94     Wed Mar  2 19:31:07 2016

21.618    32.71        22.05     Wed Mar  2 19:31:07 2016

23.842    34.44        16.33     Wed Mar  2 19:31:07 2016

21.892    34.62        21.04     Wed Mar  2 19:31:07 2016

25.833    34.44        21.45     Wed Mar  2 19:31:07 2016

22.331    34.48        20.34     Wed Mar  2 19:31:07 2016

21.904    34.19        18.83     Wed Mar  2 19:31:07 2016

21.813    34.46        21.46     Wed Mar  2 19:31:07 2016

22.1    33.43        20.81     Wed Mar  2 19:31:07 2016

21.123    34.47        21.22     Wed Mar  2 19:31:07 2016

22.552    34.63        21.73     Wed Mar  2 19:31:07 2016

21.158    33.82        19.76     Wed Mar  2 19:31:07 2016

23.351    34.35        20.34     Wed Mar  2 19:31:07 2016

21.622    34.71        19.70     Wed Mar  2 19:31:07 2016

21.957    34.81        18.67     Wed Mar  2 19:31:07 2016

21.072    32.33        12.74     Wed Mar  2 19:31:07 2016

22.275    33.57        21.59     Wed Mar  2 19:31:07 2016

25.12    34.42        21.39     Wed Mar  2 19:31:07 2016

24.531    34.40        21.01     Wed Mar  2 19:31:07 2016

27.201    30.43        13.84     Wed Mar  2 19:31:07 2016

25.256    26.84        13.93     Wed Mar  2 19:31:07 2016

21.276    31.02        18.16     Wed Mar  2 19:31:07 2016

25.17    31.89        21.32     Wed Mar  2 19:31:07 2016

22.137    34.34        21.35     Wed Mar  2 19:31:07 2016

21.243    34.84        21.65     Wed Mar  2 19:31:07 2016

29.345    33.67        18.38     Wed Mar  2 19:31:07 2016

21.084    32.88        21.56     Wed Mar  2 19:31:07 2016

22.86    33.58        20.22     Wed Mar  2 19:31:07 2016

25.183    32.10        21.67     Wed Mar  2 19:31:07 2016

24.608    34.01        21.69     Wed Mar  2 19:31:07 2016

21.765    33.91        20.69     Wed Mar  2 19:31:07 2016

21.516    33.63        21.65     Wed Mar  2 19:31:07 2016

21.401    35.70        21.13     Wed Mar  2 19:31:07 2016

21.218    32.56        19.52     Wed Mar  2 19:31:07 2016

25.2    35.36        21.44     Wed Mar  2 19:31:07 2016

21.58    34.29        21.64     Wed Mar  2 19:31:07 2016

21.964    32.13        20.50     Wed Mar  2 19:31:07 2016

24.537    33.59        20.30     Wed Mar  2 19:31:07 2016

24.703    30.32        20.57     Wed Mar  2 19:31:07 2016

25.228    34.13        21.66     Wed Mar  2 19:31:07 2016

21.477    31.73        21.62     Wed Mar  2 19:31:07 2016

22.375    32.83        20.38     Wed Mar  2 19:31:07 2016

24.735    29.59        11.28     Wed Mar  2 19:31:07 2016

31.025    35.04        21.68     Wed Mar  2 19:31:07 2016

21.166    34.31        21.73     Wed Mar  2 19:31:07 2016

22.994    32.84        18.49     Wed Mar  2 19:31:07 2016

25.373    33.02        18.15     Wed Mar  2 19:31:07 2016

22.802    33.38        20.26     Wed Mar  2 19:31:07 2016

21.577    24.97        20.29     Wed Mar  2 19:31:07 2016

24.01    32.31        18.77     Wed Mar  2 19:31:07 2016

22.366    32.35        16.76     Wed Mar  2 19:31:07 2016

25.158    32.94        21.38     Wed Mar  2 19:31:07 2016

21.696    35.11        21.40     Wed Mar  2 19:31:07 2016

21.636    31.82        20.60     Wed Mar  2 19:31:07 2016

23.538    13.60        17.30     Wed Mar  2 19:31:07 2016

22.099    28.38        12.35     Wed Mar  2 19:31:07 2016

22.669    34.83        20.72     Wed Mar  2 19:31:07 2016

21.663    33.58        21.35     Wed Mar  2 19:31:07 2016

22.951    32.41        20.51     Wed Mar  2 19:31:07 2016

25.749    33.76        21.42     Wed Mar  2 19:31:07 2016

25.339    33.35        21.64     Wed Mar  2 19:31:07 2016

24.704    34.00        21.20     Wed Mar  2 19:31:07 2016

21.607    32.03        21.74     Wed Mar  2 19:31:07 2016

22.13    32.73        21.19     Wed Mar  2 19:31:07 2016

22.562    33.72        16.43     Wed Mar  2 19:31:07 2016

23.878    23.07        12.25     Wed Mar  2 19:31:07 2016

25.091    29.24        9.18     Wed Mar  2 19:31:07 2016

25.981    30.93        7.99     Wed Mar  2 19:31:07 2016

44.142    28.02        19.63     Wed Mar  2 19:31:07 2016

25.165    33.46        20.42     Wed Mar  2 19:31:07 2016

21.314    29.82        12.25     Wed Mar  2 19:31:07 2016

21.9    33.72        20.91     Wed Mar  2 19:31:07 2016

23.276    33.33        21.43     Wed Mar  2 19:31:07 2016

23.722    33.38        20.66     Wed Mar  2 19:31:07 2016

23.978    33.57        20.58     Wed Mar  2 19:31:07 2016

22.287    34.49        19.47     Wed Mar  2 19:31:07 2016

24.008    25.92        16.42     Wed Mar  2 19:31:07 2016

22.096    29.88        20.29     Wed Mar  2 19:31:07 2016

22.024    32.54        21.25     Wed Mar  2 19:31:07 2016

23.441    33.56        21.31     Wed Mar  2 19:31:07 2016

24.281    33.76        21.13     Wed Mar  2 19:31:07 2016

32.32    30.11        18.31     Wed Mar  2 19:31:07 2016

23.154    31.20        21.45     Wed Mar  2 19:31:07 2016

24.965    32.12        20.76     Wed Mar  2 19:31:07 2016

25.139    32.22        20.95     Wed Mar  2 19:31:07 2016

21.389    33.48        19.92     Wed Mar  2 19:31:07 2016

21.716    33.21        16.65     Wed Mar  2 19:31:07 2016

26.577    33.46        21.16     Wed Mar  2 19:31:07 2016

25.487    34.95        21.40     Wed Mar  2 19:31:07 2016

29.084    35.67        20.96     Wed Mar  2 19:31:07 2016

22.73    35.34        21.59     Wed Mar  2 19:31:07 2016

20.802    35.73        22.80     Wed Mar  2 19:31:07 2016

21.475    19.20        18.04     Wed Mar  2 19:31:07 2016

21.658    36.03        23.30     Wed Mar  2 19:31:07 2016

21.522    36.07        22.12     Wed Mar  2 19:31:07 2016

21.886    35.91        23.51     Wed Mar  2 19:31:07 2016

22.532    36.85        23.01     Wed Mar  2 19:31:07 2016

21.53    35.74        22.03     Wed Mar  2 19:31:07 2016

21.889    36.57        22.22     Wed Mar  2 19:31:07 2016

21.153    34.79        22.69     Wed Mar  2 19:31:07 2016

21.059    35.73        22.21     Wed Mar  2 19:31:07 2016

21.23    34.19        22.51     Wed Mar  2 19:31:07 2016

21.427    35.41        19.26     Wed Mar  2 19:31:07 2016

23.222    36.14        23.11     Wed Mar  2 19:31:07 2016

19.815    34.18        19.16     Wed Mar  2 19:31:07 2016

20.805    34.37        23.26     Wed Mar  2 19:31:07 2016

20.293    34.62        21.95     Wed Mar  2 19:31:07 2016

23.333    35.55        23.47     Wed Mar  2 19:31:07 2016

22.096    34.53        23.61     Wed Mar  2 19:31:07 2016

20.255    34.70        23.43     Wed Mar  2 19:31:07 2016

20.195    35.97        2.19     Wed Mar  2 19:31:07 2016

21.235    35.64        23.03     Wed Mar  2 19:31:07 2016

20.072    35.81        23.28     Wed Mar  2 19:31:07 2016

21.409    36.66        21.70     Wed Mar  2 19:31:07 2016

21.074    35.20        20.42     Wed Mar  2 19:31:07 2016

22.429    35.88        17.02     Wed Mar  2 19:31:07 2016

21.009    32.58        22.61     Wed Mar  2 19:31:07 2016

20.517    32.26        20.84     Wed Mar  2 19:31:07 2016

20.839    34.56        23.12     Wed Mar  2 19:31:07 2016

21.321    34.45        22.06     Wed Mar  2 19:31:07 2016

21.3    33.38        21.58     Wed Mar  2 19:31:07 2016

21.694    35.21        20.82     Wed Mar  2 19:31:07 2016

22.073    35.14        21.74     Wed Mar  2 19:31:07 2016

23.285    33.37        23.03     Wed Mar  2 19:31:07 2016

20.949    33.31        23.08     Wed Mar  2 19:31:07 2016

23.262    35.67        20.35     Wed Mar  2 19:31:07 2016

21.234    35.81        22.97     Wed Mar  2 19:31:07 2016

