Upload: 22.35 Mbit/s
Ping: 23.199 ms
Download: 34.81 Mbit/s
Upload: 23.22 Mbit/s
Ping: 21.132 ms
Download: 32.30 Mbit/s
Upload: 21.81 Mbit/s
Ping: 21.692 ms
Download: 29.33 Mbit/s
Upload: 22.22 Mbit/s
Ping: 21.422 ms
Download: 34.40 Mbit/s
Upload: 21.60 Mbit/s
Ping: 20.573 ms
Download: 34.12 Mbit/s
Upload: 22.72 Mbit/s
Ping: 22.588 ms
Download: 34.43 Mbit/s
Upload: 20.97 Mbit/s
Ping: 22.984 ms
Download: 33.50 Mbit/s
Upload: 21.07 Mbit/s
